,id,Player,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,TD/G
474,GuytJa01,Jalen Guyton,24,WR,16,2,48.0,31,64.6%,448,14.5,3,59,9.3,1.9,28.0,1.0,0.2
475,HamlKJ00,KJ Hamler,21,WR,13,4,56.0,30,53.6%,381,12.7,3,49,6.8,2.3,29.3,2.0,0.2
476,HamlKJ00,KJ Hamler,22,WR,3,2,10.0,5,50.0%,74,14.8,0,28,7.4,1.7,24.7,0.0,0.0
477,HardMe00,Mecole Hardman*,21,WR,16,5,41.0,26,63.4%,538,20.7,6,83,13.1,1.6,33.6,2.0,0.4
478,HardMe00,Mecole Hardman,22,WR,16,8,62.0,41,66.1%,560,13.7,4,49,9.0,2.6,35.0,2.0,0.2
479,HardMe00,Mecole Hardman,23,WR,17,8,83.0,59,71.1%,693,11.7,2,53,8.3,3.5,40.8,3.0,0.1
480,HarrDa06,Damien Harris,23,RB,10,10,7.0,5,71.4%,52,10.4,0,15,7.4,0.5,5.2,1.0,0.0
481,HarrDa06,Damien Harris,24,RB,15,15,21.0,18,85.7%,132,7.3,0,21,6.3,1.2,8.8,2.0,0.0
482,HarrDe07,Deonte Harty*+,22,WR,14,1,6.0,6,100.0%,24,4.0,0,13,4.0,0.4,1.7,3.0,0.0
483,HarrDe07,Deonte Harty,23,WR,9,2,25.0,20,80.0%,186,9.3,1,40,7.4,2.2,20.7,3.0,0.1
484,HarrDe07,Deonte Harty,24,WR,13,1,59.0,36,61.0%,570,15.8,3,72,9.7,2.8,43.8,2.0,0.2
485,HarrNK00,N'Keal Harry,22,WR,7,5,24.0,12,50.0%,105,8.8,2,18,4.4,1.7,15.0,0.0,0.3
486,HarrNK00,N'Keal Harry,23,WR,14,9,57.0,33,57.9%,309,9.4,2,30,5.4,2.4,22.1,1.0,0.1
487,HarrNK00,N'Keal Harry,24,WR,12,4,22.0,12,54.5%,184,15.3,0,43,8.4,1.0,15.3,1.0,0.0
488,HarrNa00,Najee Harris*,23,RB,17,17,94.0,74,78.7%,467,6.3,3,25,5.0,4.4,27.5,0.0,0.2
489,HartPe01,Penny Hart,24,WR,13,0,1.0,1,100.0%,3,3.0,0,3,3.0,0.1,0.2,0.0,0.0
490,HartPe01,Penny Hart,25,WR,17,0,12.0,7,58.3%,59,8.4,0,16,4.9,0.4,3.5,0.0,0.0
491,HastJa02,Jamycal Hasty,24,RB,8,0,8.0,7,87.5%,33,4.7,0,16,4.1,0.9,4.1,1.0,0.0
492,HastJa02,Jamycal Hasty,25,RB,11,0,29.0,23,79.3%,157,6.8,0,23,5.4,2.1,14.3,2.0,0.0
