Rk,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,id
49,Chase Edmonds,25,RB,12,11,116,592,2,54,5.1,49.3,1,EdmoCh00
50,Alex Collins,27,RB,11,6,108,411,2,25,3.8,37.4,1,CollAl00
51,Khalil Herbert,23,RB,17,2,103,433,2,29,4.2,25.5,1,HerbKh00
52,Ronald Jones II,24,RB,16,3,101,428,4,30,4.2,26.8,2,JoneRo01
53,D'Ernest Johnson,25,RB,17,2,100,534,3,30,5.3,31.4,1,JohnDE04
54,Christian McCaffrey,25,RB,7,7,99,442,1,18,4.5,63.1,1,McCaCh01
55,Zack Moss,24,RB,13,0,96,345,4,17,3.6,26.5,2,MossZa00
56,Phillip Lindsay,27,RB,14,1,88,249,1,35,2.8,17.8,0,LindPh00
57,Kyler Murray*,24,QB,14,14,88,423,5,57,4.8,30.2,13,MurrKy00
58,Boston Scott,26,RB,16,4,87,373,7,23,4.3,23.3,1,ScotBo02
59,Jordan Howard,27,RB,7,0,86,406,3,25,4.7,58.0,0,HowaJo00
60,Tevin Coleman,28,RB,11,5,84,356,0,20,4.2,32.4,0,ColeTe01
61,Jeff Wilson,26,RB,9,4,79,294,2,17,3.7,32.7,1,WilsJe01
62,Kareem Hunt,26,RB,8,1,78,386,5,33,4.9,48.3,0,HuntKa00
63,Trevor Lawrence,22,QB,17,17,73,334,2,26,4.6,19.6,9,LawrTr00
64,Justin Fields,22,QB,12,10,72,420,2,23,5.8,35.0,12,FielJu00
65,Carlos Hyde,31,RB,12,2,72,253,1,18,3.5,21.1,2,HydeCa00
66,Duke Johnson,28,RB,5,4,71,330,3,27,4.6,66.0,0,JohnDu00
67,Taysom Hill,31,QB,12,9,70,374,5,44,5.3,31.2,2,HillTa00
68,Kenneth Gainwell,22,RB,16,1,68,291,5,18,4.3,18.2,2,GainKe00
69,Justin Jackson,25,RB,14,2,68,364,2,75,5.4,26.0,1,JackJu01
70,Jaret Patterson,22,RB,17,1,68,266,2,13,3.9,15.6,1,PattJa01
71,David Johnson,30,RB,13,4,67,228,0,15,3.4,17.5,1,JohnDa08
72,Patrick Mahomes*,26,QB,17,17,66,381,2,32,5.8,22.4,9,MahoPa00
73,Kenyan Drake,27,RB,12,2,63,254,2,21,4.0,21.2,1,DrakKe00
74,Justin Herbert*,23,QB,17,17,63,302,3,36,4.8,17.8,1,HerbJu00
75,Daniel Jones,24,QB,11,11,62,298,2,46,4.8,27.1,7,JoneDa05
76,Ty Johnson,24,RB,16,3,61,238,2,24,3.9,14.9,2,JohnTy02
77,Taylor Heinicke,28,QB,16,15,60,313,1,38,5.2,19.6,7,HeinTa00
78,Deebo Samuel*+,25,WR,16,15,59,365,8,49,6.2,22.8,4,SamuDe00
79,Carson Wentz,29,QB,17,17,57,215,1,18,3.8,12.6,8,WentCa00
80,Royce Freeman,25,RB,15,0,56,169,0,13,3.0,11.3,0,FreeRo00
81,Dontrell Hilliard,26,RB,8,5,56,350,2,68,6.3,43.8,2,HillDo00
82,Nyheim Hines,25,RB,17,4,56,276,2,34,4.9,16.2,3,HineNy00
83,Peyton Barber,27,RB,10,1,55,212,2,27,3.9,21.2,2,BarbPe01
84,Samaje Perine,26,RB,16,0,55,246,1,46,4.5,15.4,0,PeriSa00
85,Craig Reynolds,25,RB,5,2,55,230,0,35,4.2,46.0,0,ReynCr00
86,Ryan Tannehill,33,QB,17,17,55,270,7,28,4.9,15.9,10,TannRy00
87,Salvon Ahmed,23,RB,12,0,54,149,0,16,2.8,12.4,0,AhmeSa01
88,Chris Carson,27,RB,4,4,54,232,3,33,4.3,58.0,1,CarsCh00
89,Tony Jones,24,RB,11,4,54,142,0,11,2.6,12.9,0,JoneTo04
90,Ameer Abdullah,28,RB,17,1,51,166,0,15,3.3,9.8,0,AbduAm00
91,Derrick Gore,27,RB,11,0,51,256,2,51,5.0,23.3,0,GoreDe00
92,Sam Darnold,24,QB,12,11,48,222,5,30,4.6,18.5,9,DarnSa00
93,J.D. McKissic,28,WR,11,3,48,212,2,15,4.4,19.3,0,McKiJ.00
94,Dak Prescott,28,QB,16,16,48,146,1,21,3.0,9.1,14,PresDa01
95,Tyler Huntley,23,QB,7,4,47,294,2,21,6.3,42.0,4,HuntTy01
96,Cam Newton,32,QB,8,5,47,230,5,33,4.9,28.8,4,NewtCa00
97,Brandon Bolden,31,RB,17,1,44,226,1,24,5.1,13.3,1,BoldBr00
98,Mac Jones*,23,QB,17,17,44,129,0,13,2.9,7.6,7,JoneMa05
99,Dare Ogunbowale,27,RB,17,2,43,137,1,12,3.2,8.1,0,OgunDa00
100,Russell Wilson*,33,QB,14,14,43,183,2,17,4.3,13.1,6,WilsRu00
101,Tua Tagovailoa,23,QB,13,12,42,128,3,23,3.0,9.8,9,TagoTu00
102,Jeremy McNichols,26,RB,14,0,41,156,0,14,3.8,11.1,0,McNiJe00
103,Trey Sermon,22,RB,9,2,41,167,1,16,4.1,18.6,0,SermTr00
104,Joe Burrow,25,QB,16,16,40,118,2,12,3.0,7.4,5,BurrJo01
105,Derek Carr,30,QB,17,17,40,108,0,22,2.7,6.4,13,CarrDe02
106,Matt Ryan,36,QB,17,17,40,82,1,17,2.1,4.8,11,RyanMa00
107,Damien Williams,29,RB,12,2,40,164,2,23,4.1,13.7,0,WillDa05
108,Le'Veon Bell,29,RB,8,0,39,101,2,12,2.6,12.6,0,BellLe00
109,Jimmy Garoppolo,30,QB,15,15,38,51,3,7,1.3,3.4,8,GaroJi00
110,Trey Lance,21,QB,6,2,38,168,1,15,4.4,28.0,0,LancTr00
111,Adrian Peterson,36,RB,4,3,38,98,2,16,2.6,24.5,1,PeteAd01
112,Baker Mayfield,26,QB,14,14,37,134,1,14,3.6,9.6,6,MayfBa00
113,Larry Rountree,22,RB,12,0,36,87,1,13,2.4,7.3,0,RounLa00
114,Benny Snell Jr.,23,RB,17,0,36,98,0,9,2.7,5.8,0,SnelBe00
115,Ke'Shawn Vaughn,24,RB,12,1,36,180,2,55,5.0,15.0,0,VaugKe00
116,Ty'Son Williams,25,RB,13,3,35,185,1,35,5.3,14.2,1,WillTy01
117,Eno Benjamin,22,RB,9,0,34,118,1,21,3.5,13.1,0,BenjEn00
118,Malcolm Brown,28,RB,7,3,33,125,1,24,3.8,17.9,0,BrowMa03
119,Corey Clement,27,RB,17,0,33,140,0,38,4.2,8.2,0,ClemCo00
120,DeeJay Dallas,23,RB,17,0,33,138,2,15,4.2,8.1,1,DallDe00
121,Joshua Kelley,24,RB,10,0,33,102,0,14,3.1,10.2,1,KellJo01
122,Aaron Rodgers*+,38,QB,16,16,33,101,3,18,3.1,6.3,3,RodgAa00
123,Matthew Stafford,33,QB,17,17,32,43,0,12,1.3,2.5,5,StafMa00
124,Jameis Winston,27,QB,7,7,32,166,1,20,5.2,23.7,2,WinsJa00
125,Teddy Bridgewater,29,QB,14,14,30,106,2,13,3.5,7.6,1,BridTe00
126,Kirk Cousins*,33,QB,16,16,29,115,1,29,4.0,7.2,12,CousKi00
127,Zach Wilson,22,QB,13,13,29,185,4,52,6.4,14.2,5,WilsZa00
128,Tom Brady*,44,QB,17,17,28,81,2,13,2.9,4.8,4,BradTo00
129,Wayne Gallman,27,RB,8,0,28,104,0,17,3.7,13.0,0,GallWa00
130,Marlon Mack,25,RB,6,0,28,101,0,22,3.6,16.8,0,MackMa00
131,Matt Breida,26,RB,9,0,26,125,1,28,4.8,13.9,1,BreiMa00
132,Austin Walter,25,RB,4,0,26,101,1,14,3.9,25.3,0,WaltAu00
133,Elijhaa Penny,28,RB,17,3,24,99,1,12,4.1,5.8,0,PennEl00
134,Patrick Taylor,23,RB,9,0,23,89,1,12,3.9,9.9,0,TaylPa01
135,Colt McCoy,35,QB,8,3,22,37,0,11,1.7,4.6,4,McCoCo00
136,Travis Homer,23,RB,14,0,21,177,1,73,8.4,12.6,0,HomeTr00
137,Qadree Ollison,25,RB,8,0,21,105,1,19,5.0,13.1,1,OlliQa00
138,Ben Roethlisberger,39,QB,16,16,20,5,1,8,0.3,0.3,11,RoetBe00
139,Jacoby Brissett,29,QB,11,5,19,70,1,19,3.7,6.4,6,BrisJa00
140,J.J. Taylor,23,RB,5,0,19,37,2,15,1.9,7.4,1,TaylJJ01
141,Tyrod Taylor,32,QB,6,6,19,151,3,30,7.9,25.2,3,TaylTy00
142,Godwin Igwebuike,27,DB,17,1,18,118,1,42,6.6,6.9,2,IgweGo00
143,Davis Mills,23,QB,13,11,18,44,0,11,2.4,3.4,5,MillDa02
144,Rondale Moore,21,WR,14,7,18,76,0,26,4.2,5.4,3,MoorRo02
145,Chris Evans,24,RB,14,1,17,77,0,13,4.5,5.5,0,EvanCh02
146,Jared Goff,27,QB,14,14,17,87,0,26,5.1,6.2,9,GoffJa00
147,Jonathan Williams,27,RB,5,0,17,79,1,23,4.6,15.8,0,WillJo07
148,Andy Dalton,34,QB,8,6,16,76,0,14,4.8,9.5,1,DaltAn00
149,Jamycal Hasty,25,RB,11,0,16,68,1,21,4.3,6.2,2,HastJa02
150,Ryquell Armstead,25,RB,2,0,15,80,0,26,5.3,40.0,0,ArmsRy00
151,Jermar Jefferson,21,RB,7,0,15,74,2,28,4.9,10.6,0,JeffJe00
152,Ty Montgomery,28,WR,14,3,15,44,0,9,2.9,3.1,0,MontTy01
153,Trayveon Williams,24,RB,5,0,15,51,0,10,3.4,10.2,0,WillTr06
154,Chase Claypool,23,WR,15,13,14,96,0,25,6.9,6.4,0,ClayCh01
155,Jason Huntley,23,RB,1,0,13,51,0,18,3.9,51.0,0,HuntJa01
156,Deon Jackson,22,RB,9,0,13,31,1,10,2.4,3.4,0,JackDe02
157,Marcus Mariota,28,QB,10,0,13,87,1,31,6.7,8.7,1,MariMa01
158,Kene Nwangwu,23,RB,11,0,13,61,0,19,4.7,5.5,0,NwanKe00
159,Mitchell Trubisky,27,QB,6,0,13,24,1,22,1.8,4.0,0,TrubMi00
160,Kalen Ballage,26,RB,17,0,12,36,0,13,3.0,2.1,0,BallKa00
161,Kendrick Bourne,26,WR,17,5,12,125,0,18,10.4,7.4,1,BourKe00
162,Case Keenum,33,QB,7,2,12,22,0,10,1.8,3.1,1,KeenCa00
163,Jordan Love,23,QB,6,1,12,27,0,10,2.3,4.5,3,LoveJo03
164,Jerick McKinnon,29,RB,13,0,12,62,0,18,5.2,4.8,0,McKiJe00
165,Brian Hoyer,36,QB,5,0,11,-8,0,2,-0.7,-1.6,0,HoyeBr00
166,Laviska Shenault Jr.,23,WR,16,10,11,41,0,11,3.7,2.6,1,ShenLa00
167,DeAndre Carter,28,WR,17,6,10,89,0,27,8.9,5.2,3,CartDe02
168,Kylin Hill,23,RB,8,0,10,24,0,8,2.4,3.0,0,HillKy00
169,Drew Lock,25,QB,6,3,10,53,2,23,5.3,8.8,2,LockDr00
170,Jalen Reagor,22,WR,17,13,10,32,0,12,3.2,1.9,2,ReagJa00
171,James White,29,RB,3,0,10,38,1,10,3.8,12.7,0,WhitJa02
172,Blaine Gabbert,32,QB,6,0,9,-7,0,0,-0.8,-1.2,0,GabbBl00
173,Tyreek Hill*,27,WR,17,16,9,96,0,33,10.7,5.6,2,HillTy00
174,Josh Johnson,35,QB,4,1,9,28,0,11,3.1,7.0,2,JohnJo05
175,CeeDee Lamb*,22,WR,16,13,9,76,0,33,8.4,4.8,0,LambCe00
176,Isaiah McKenzie,26,WR,15,2,9,47,1,10,5.2,3.1,2,McKeIs00
177,Gardner Minshew II,25,QB,4,2,9,21,0,9,2.3,5.3,1,MinsGa00
178,Jalen Richard,28,RB,10,0,9,40,0,23,4.4,4.0,0,RichJa01
179,Cooper Rush,28,QB,5,1,9,-8,0,2,-0.9,-1.6,1,RushCo00
180,Trevor Siemian,30,QB,6,4,9,20,1,17,2.2,3.3,3,SiemTr00
181,Geno Smith,31,QB,4,3,9,42,1,12,4.7,10.5,1,SmitGe00
182,Jonnu Smith,26,TE,16,11,9,40,0,9,4.4,2.5,1,SmitJo01
183,Keith Smith,29,FB,17,8,9,31,0,8,3.4,1.8,0,SmitKe03
184,Jonathan Ward,24,RB,13,0,9,33,0,7,3.7,2.5,0,WardJo00
185,Giovani Bernard,30,RB,12,0,8,58,0,24,7.3,4.8,1,BernGi00
186,Michael Burton,29,RB,16,0,8,26,1,7,3.3,1.6,0,BurtMi00
187,Jake Fromm,23,QB,3,2,8,65,0,27,8.1,21.7,2,FromJa00
188,Mecole Hardman,23,WR,17,8,8,46,0,24,5.8,2.7,3,HardMe00
189,Chad Henne,36,QB,4,0,8,0,0,4,0.0,0.0,2,HennCh01
190,Kyle Juszczyk*,30,FB,17,16,8,22,1,6,2.8,1.3,0,JuszKy00
191,D.J. Moore,24,WR,17,17,8,48,0,14,6.0,2.8,1,MoorD.00
192,La'Mical Perine,23,RB,4,0,8,31,0,14,3.9,7.8,0,PeriLa00
193,Robert Woods,29,WR,9,9,8,46,1,16,5.8,5.1,0,WoodRo02
194,Jamal Agnew,26,WR,10,2,7,111,1,66,15.9,11.1,1,AgneJa00
195,Brandon Allen,29,QB,6,1,7,-1,0,3,-0.1,-0.2,1,AlleBr00
196,Braxton Berrios+,26,WR,16,1,7,40,2,11,5.7,2.5,1,BerrBr00
197,Ja'Marr Chase*,21,WR,17,17,7,21,0,10,3.0,1.2,2,ChasJa00
198,Devin Duvernay*+,24,WR,16,7,7,50,0,19,7.1,3.1,1,DuveDe00
199,Demetric Felton,23,WR,16,2,7,24,0,12,3.4,1.5,4,FeltDe00
200,Mike Glennon,32,QB,6,4,7,33,1,13,4.7,5.5,6,GlenMi00
201,Jalen Guyton,24,WR,16,2,7,34,0,21,4.9,2.1,1,GuytJa01
202,C.J. Ham,28,FB,17,8,7,34,0,30,4.9,2.0,0,HamxC.00
203,Amon-Ra St. Brown,22,WR,17,9,7,61,1,26,8.7,3.6,0,StxxAm00
204,P.J. Walker,26,QB,5,1,7,13,0,13,1.9,2.6,3,WalkPh00
205,Justin Jefferson*,22,WR,17,17,6,14,0,11,2.3,0.8,1,JeffJu00
206,Jarvis Landry,29,WR,12,12,6,40,2,16,6.7,3.3,3,LandJa00
207,Darnell Mooney,24,WR,17,14,6,32,1,15,5.3,1.9,0,MoonDa00
208,Scottie Phillips,24,RB,3,0,6,13,0,4,2.2,4.3,0,PhilSc01
209,Anthony Schwartz,21,WR,14,2,6,39,0,17,6.5,2.8,0,SchwAn00
210,Logan Woodside,26,QB,5,0,6,-6,0,-1,-1.0,-1.2,0,WoodLo00
211,Brandon Aiyuk,23,WR,17,16,5,17,0,8,3.4,1.0,2,AiyuBr00
212,Cam Akers,22,RB,1,0,5,3,0,2,0.6,3.0,0,AkerCa00
213,Alex Armah,27,FB,11,2,5,21,0,9,4.2,1.9,0,ArmaAl00
214,Jakeem Grant*,29,WR,15,0,5,33,0,13,6.6,2.2,3,GranJa00
215,Deonte Harty,24,WR,13,1,5,41,0,22,8.2,3.2,2,HarrDe07
216,Buddy Howell,25,RB,10,0,5,11,0,4,2.2,1.1,0,HoweGr00
217,Diontae Johnson*,25,WR,16,14,5,53,0,25,10.6,3.3,2,JohnDi01
218,Elijah Moore,21,WR,11,6,5,54,1,19,10.8,4.9,0,MoorEl00
219,Michael Pittman Jr.,24,WR,17,17,5,44,0,25,8.8,2.6,1,PittMi01
220,Mason Rudolph,26,QB,2,1,5,53,0,26,10.6,26.5,1,RudoMa00
221,Jaylen Samuels,25,RB,3,0,5,9,0,3,1.8,3.0,0,SamuJa00
222,Mekhi Sargent,24,RB,7,0,5,11,0,3,2.2,1.6,0,SargMe00
223,Wendell Smallwood,27,RB,3,0,5,25,0,13,5.0,8.3,0,SmalWe00
224,Freddie Swain,23,WR,17,8,5,32,0,11,6.4,1.9,1,SwaiFr00
225,Mike White,26,QB,4,3,5,-1,0,2,-0.2,-0.3,0,WhitMi01
226,Kenjon Barner,32,RB,3,0,4,0,0,1,0.0,0.0,0,BarnKe00
227,Blake Bell,30,TE,16,5,4,10,0,3,2.5,0.6,0,BellBl00
228,Mike Boone,26,RB,8,0,4,35,0,16,8.8,4.4,0,BoonMi00
229,D'Wayne Eskridge,24,WR,10,0,4,59,0,30,14.8,5.9,0,EskrDW00
230,Nick Foles,32,QB,1,1,4,8,0,8,2.0,8.0,1,FoleNi00
231,Chris Godwin,25,WR,14,14,4,21,1,9,5.3,1.5,2,GodwCh00
232,JaQuan Hardy,24,RB,3,0,4,29,1,22,7.3,9.7,0,HardJa01
233,Cooper Kupp*+,28,WR,17,17,4,18,0,18,4.5,1.1,0,KuppCo00
234,Kalif Raymond,27,WR,16,14,4,28,0,13,7.0,1.8,0,RaymKa00
235,Curtis Samuel,25,WR,5,1,4,11,0,8,2.8,2.2,0,SamuCu00
236,Dwayne Washington,27,RB,14,0,4,16,0,5,4.0,1.1,0,WashDw00
237,Albert Wilson,29,WR,14,5,4,17,0,14,4.3,1.2,0,WilsAl02
238,Nelson Agholor,28,WR,15,13,3,11,0,6,3.7,0.7,0,AghoNe00
239,Robbie Anderson,28,WR,17,16,3,36,0,30,12.0,2.1,0,AndeRo04
240,Tavon Austin,31,WR,13,3,3,21,0,8,7.0,1.6,1,AustTa00
241,Khari Blasingame,25,RB,11,3,3,6,0,3,2.0,0.5,1,BlasKh00
242,Ian Book,23,QB,1,1,3,6,0,3,2.0,6.0,0,BookIa00
243,Jason Cabinda,25,LB,14,4,3,23,0,21,7.7,1.6,0,CabiJa00
244,Trenton Cannon,27,RB,12,0,3,4,0,3,1.3,0.3,1,CannTr00
245,Damarea Crockett,24,RB,12,0,3,7,0,6,2.3,0.6,0,CrocDa01
246,Ashton Dulin,24,WR,17,1,3,32,0,37,10.7,1.9,0,DuliAs00
247,Sam Ehlinger,23,QB,3,0,3,9,0,9,3.0,3.0,0,EhliSa00
248,Gerald Everett,27,TE,15,12,3,20,0,13,6.7,1.3,2,EverGe00
249,Feleipe Franks,24,QB,9,0,3,6,0,4,2.0,0.7,0,FranFe00
250,Reggie Gilliam,24,FB,16,5,3,3,0,2,1.0,0.2,0,GillRe00
251,George Kittle*,28,TE,14,14,3,20,0,9,6.7,1.4,2,KittGe00
252,Allen Lazard,26,WR,15,13,3,32,0,14,10.7,2.1,0,LazaAl00
253,Anthony McFarland Jr.,22,RB,2,0,3,3,0,3,1.0,1.5,0,McFaAn00
254,Gabe Nabers,24,FB,10,1,3,8,0,4,2.7,0.8,0,NabeGa00
255,Adam Prentice,24,FB,7,3,3,5,0,2,1.7,0.7,0,PrenAd00
256,Hunter Renfrow*,26,WR,17,9,3,3,0,5,1.0,0.2,5,RenfHu00
257,Andre Roberts,33,WR,16,0,3,19,0,9,6.3,1.2,3,RobeAn00
258,Henry Ruggs III,22,WR,7,7,3,16,0,7,5.3,2.3,0,RuggHe00
259,JuJu Smith-Schuster,25,WR,5,5,3,9,1,3,3.0,1.8,0,SmitJu00
260,Equanimeous St. Brown,25,WR,13,2,3,14,0,13,4.7,1.1,0,St.BEq00
261,Johnny Stanton,27,RB,4,0,3,5,0,3,1.7,1.3,0,StanJo02
262,Chris Streveler,26,QB,2,0,3,6,0,4,2.0,3.0,1,StreCh00
263,Kadarius Toney,22,WR,10,4,3,6,0,7,2.0,0.6,0,ToneKa00
264,Tommy Tremble,21,TE,16,11,3,11,1,7,3.7,0.7,0,TremTo00
265,Kyle Allen,25,QB,2,0,2,11,0,11,5.5,5.5,1,AlleKy00
266,Cameron Batson,26,WR,4,0,2,15,0,11,7.5,3.8,0,BatsCa00
267,Odell Beckham Jr.,29,WR,14,13,2,14,0,10,7.0,1.0,0,BeckOd00
268,Kurt Benkert,26,QB,1,0,2,-1,0,0,-0.5,-1.0,0,BenkKu01
269,Tyler Boyd,27,WR,16,10,2,22,0,14,11.0,1.4,1,BoydTy00
270,Tim Boyle,27,QB,5,3,2,13,0,14,6.5,2.6,1,BoylTi00
271,A.J. Brown,24,WR,13,13,2,10,0,7,5.0,0.8,0,BrowAJ00
272,Brandin Cooks,28,WR,16,16,2,21,0,16,10.5,1.3,0,CookBr00
273,Chase Daniel,35,QB,1,0,2,-2,0,-1,-1.0,-2.0,0,DaniCh00
274,Darrynton Evans,23,RB,1,0,2,7,0,5,3.5,7.0,0,EvanDa02
275,Joe Flacco,36,QB,2,1,2,3,0,2,1.5,1.5,1,FlacJo00
276,Jake Funk,23,RB,10,0,2,5,0,6,2.5,0.5,0,FunkJa00
277,Marquise Goodwin,31,WR,14,2,2,-1,0,1,-0.5,-0.1,1,GoodMa00
278,Alec Ingold,25,FB,9,3,2,1,0,1,0.5,0.1,0,IngoAl01
279,Andy Janovich,28,RB,13,3,2,0,1,1,0.0,0.0,0,JanoAn00
280,Van Jefferson,25,WR,17,17,2,20,0,10,10.0,1.2,0,JeffVa00
281,Jerry Jeudy,22,WR,10,5,2,3,0,3,1.5,0.3,1,JeudJe00
282,Marcus Johnson,27,WR,7,3,2,-2,0,5,-1.0,-0.3,0,JohnMa07
283,Zay Jones,26,WR,17,9,2,3,0,4,1.5,0.2,1,JoneZa00
284,Travis Kelce*,32,TE,16,16,2,3,1,4,1.5,0.2,1,KelcTr00
285,John Kelly,25,RB,4,0,2,13,0,11,6.5,3.3,0,KellJo00
286,Dallin Leavitt,27,DB,16,1,2,6,0,4,3.0,0.4,0,LeavDa00
287,Tyler Lockett,29,WR,16,16,2,9,0,7,4.5,0.6,0,LockTy00
288,Sean Mannion,29,QB,1,1,2,14,0,11,7.0,14.0,0,MannSe00
289,Ray-Ray McCloud,25,WR,16,5,2,15,0,10,7.5,0.9,4,McClRa00
290,Scott Miller,24,WR,9,0,2,43,1,33,21.5,4.8,0,MillSc01
291,Raheem Mostert,29,RB,1,1,2,20,0,11,10.0,20.0,0,MostRa00
292,Zach Pascal,27,WR,16,13,2,21,0,12,10.5,1.3,1,PascZa00
293,Jacques Patrick,24,RB,2,0,2,12,0,8,6.0,6.0,0,PatrJa01
294,Nathan Peterman,27,QB,1,0,2,2,0,1,1.0,2.0,0,PeteNa00
295,Patrick Ricard*,27,FB,13,11,2,4,0,2,2.0,0.3,0,RicaPa00
296,Emmanuel Sanders,34,WR,14,13,2,31,0,24,15.5,2.2,0,SandEm00
297,Durham Smythe,26,TE,17,12,2,3,0,2,1.5,0.2,0,SmytDu00
298,Jaylen Waddle,23,WR,16,16,2,3,1,2,1.5,0.2,2,WaddJa00
299,James Washington,25,WR,15,2,2,13,0,12,6.5,0.9,0,WashJa00
300,Davis Webb,26,QB,1,0,2,-3,0,-1,-1.5,-3.0,0,WebbDa00
301,Cedrick Wilson Jr.,26,WR,16,4,2,11,0,6,5.5,0.7,3,WilsCe01
302,John Wolford,26,QB,3,0,2,-1,0,0,-0.5,-0.3,0,WolfJo00
303,Jordan Akins,29,TE,13,3,1,3,0,3,3.0,0.2,2,AkinJo00
304,Mark Andrews*+,26,TE,17,9,1,0,0,0,0.0,0.0,1,AndrMa00
305,Alex Bachman,25,WR,3,0,1,-3,0,-3,-3.0,-1.0,0,BachAl00
306,C.J. Beathard,28,QB,2,0,1,2,0,2,2.0,1.0,0,BeatC.00
307,David Blough,26,QB,1,0,1,6,0,6,6.0,6.0,1,BlouDa00
308,C.J. Board,28,WR,6,1,1,6,0,6,6.0,1.0,0,BoarC.00
309,Reggie Bonnafon,25,RB,4,0,1,4,0,4,4.0,1.0,0,BonnRe00
310,Gary Brightwell,22,RB,13,0,1,4,0,4,4.0,0.3,0,BrigGa00
