Rk,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,id
1,Jonathan Taylor*+,22,RB,17,17,332,1811,18,83,5.5,106.5,4,TaylJo02
2,Najee Harris*,23,RB,17,17,307,1200,7,37,3.9,70.6,0,HarrNa00
3,Joe Mixon*,25,RB,16,16,292,1205,13,32,4.1,75.3,2,MixoJo00
4,Antonio Gibson,23,RB,16,14,258,1037,7,27,4.0,64.8,6,GibsAn00
5,Dalvin Cook*,26,RB,13,13,249,1159,6,66,4.7,89.2,3,CookDa01
6,Alvin Kamara*,26,RB,13,10,240,898,4,30,3.7,69.1,0,KamaAl00
7,Ezekiel Elliott,26,RB,17,17,237,1002,10,47,4.2,58.9,1,ElliEz00
8,Nick Chubb*,26,RB,14,14,228,1259,8,70,5.5,89.9,2,ChubNi00
9,David Montgomery,24,RB,13,13,225,849,7,41,3.8,65.3,1,MontDa01
10,Derrick Henry,27,RB,8,8,219,937,10,76,4.3,117.1,1,HenrDe00
11,Josh Jacobs,23,RB,15,14,217,872,9,28,4.0,58.1,2,JacoJo01
12,Sony Michel,26,RB,17,7,208,845,4,39,4.1,49.7,1,MichSo00
13,Elijah Mitchell,23,RB,11,10,207,963,5,39,4.7,87.5,0,MitcEl00
14,Austin Ekeler,26,RB,16,16,206,911,12,28,4.4,56.9,4,EkelAu00
15,Melvin Gordon,28,RB,16,16,203,918,8,70,4.5,57.4,3,GordMe00
16,Javonte Williams,21,RB,17,1,203,903,4,49,4.4,53.1,2,WillJa10
17,James Conner*,26,RB,15,6,202,752,15,35,3.7,50.1,2,ConnJa00
18,Damien Harris,24,RB,15,15,202,929,15,64,4.6,61.9,2,HarrDa06
19,Devin Singletary,24,RB,17,16,188,870,7,46,4.6,51.2,5,SingDe00
20,AJ Dillon,23,RB,17,2,187,803,5,36,4.3,47.2,2,DillAJ00
21,Leonard Fournette,26,RB,14,13,180,812,8,47,4.5,58.0,1,FourLe00
22,Myles Gaskin,24,RB,17,10,173,612,3,30,3.5,36.0,2,GaskMy00
23,Chuba Hubbard,22,RB,17,10,172,612,5,26,3.6,36.0,1,HubbCh01
24,Aaron Jones,27,RB,15,15,171,799,4,57,4.7,53.3,2,JoneAa00
25,James Robinson,23,RB,14,13,164,767,8,58,4.7,54.8,4,RobiJa00
26,Saquon Barkley,24,RB,13,13,162,593,2,41,3.7,45.6,2,BarkSa00
27,Mark Ingram,32,RB,14,10,160,554,2,28,3.5,39.6,1,IngrMa01
28,Cordarrelle Patterson,30,RB,16,13,153,618,6,39,4.0,38.6,2,PattCo00
29,Jamaal Williams,26,RB,13,11,153,601,3,20,3.9,46.2,1,WillJa06
30,D'Andre Swift,22,RB,13,4,151,617,5,57,4.1,47.5,2,SwifDA00
31,Darrell Henderson,24,RB,12,10,149,688,5,29,4.6,57.3,0,HendDa00
32,Michael Carter,22,RB,14,11,147,639,4,55,4.3,45.6,1,CartMi03
33,Devontae Booker,29,RB,16,4,145,593,2,31,4.1,37.1,0,BookDe00
34,Darrel Williams,26,RB,17,7,144,558,6,21,3.9,32.8,0,WillDa10
35,Jalen Hurts,23,QB,15,15,139,784,10,31,5.6,52.3,9,HurtJa00
36,Mike Davis,28,RB,17,8,138,503,3,18,3.6,29.6,4,DaviMi01
37,Miles Sanders,24,RB,12,12,137,754,0,38,5.5,62.8,1,SandMi01
38,Alexander Mattison,23,RB,16,4,134,491,3,48,3.7,30.7,1,MattAl01
39,D'Onta Foreman,25,RB,9,3,133,566,3,35,4.3,62.9,2,ForeDO00
40,Devonta Freeman,29,RB,16,8,133,576,5,32,4.3,36.0,0,FreeDe00
41,Lamar Jackson*,24,QB,12,12,133,767,2,31,5.8,63.9,6,JackLa00
42,Rhamondre Stevenson,23,RB,12,2,133,606,5,21,4.6,50.5,2,StevRh00
43,Tony Pollard,24,RB,15,0,130,719,2,58,5.5,47.9,2,PollTo00
44,Josh Allen,25,QB,17,17,122,763,6,34,6.3,44.9,8,AlleJo02
45,Rex Burkhead,31,RB,16,5,122,427,3,36,3.5,26.7,1,BurkRe00
46,Clyde Edwards-Helaire,22,RB,10,10,119,517,4,17,4.3,51.7,2,EdwaCl00
47,Latavius Murray,31,RB,14,6,119,501,6,46,4.2,35.8,0,MurrLa00
48,Rashaad Penny,25,RB,10,6,119,749,6,62,6.3,74.9,0,PennRa00
