Rk,Player,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,id
53,Jeremy Kerley,24,WR,16,7,95,56,58.9%,827,14.8,2,66,8.7,3.5,51.7,4,KerlJe00
54,Martellus Bennett,25,TE,16,16,89,55,61.8%,626,11.4,5,33,7.0,3.4,39.1,0,BennMa00
55,Rob Gronkowski*,23,TE,11,11,79,55,69.6%,790,14.4,11,41,10.0,5.0,71.8,1,GronRo00
56,Cecil Shorts,25,WR,14,9,105,55,52.4%,979,17.8,7,80,9.3,3.9,69.9,1,ShorCe00
57,LeSean McCoy,24,RB,12,12,67,54,80.6%,373,6.9,3,36,5.6,4.5,31.1,4,McCoLe01
58,Jason Avant,29,WR,14,6,76,53,69.7%,648,12.2,0,39,8.5,3.8,46.3,1,AvanJa00
59,Greg Little,23,WR,16,16,94,53,56.4%,647,12.2,4,43,6.9,3.3,40.4,0,LittGr00
60,Hakeem Nicks,24,WR,13,11,100,53,53.0%,692,13.1,3,50,6.9,4.1,53.2,0,NickHa01
61,Jacquizz Rodgers,22,RB,16,0,59,53,89.8%,402,7.6,1,32,6.8,3.3,25.1,0,RodgJa00
62,Kyle Rudolph*,23,TE,16,16,93,53,57.0%,493,9.3,9,29,5.3,3.3,30.8,0,RudoKy00
63,Joique Bell,26,RB,16,0,68,52,76.5%,485,9.3,0,50,7.1,3.3,30.3,2,BellJo01
64,Marcedes Lewis,28,TE,16,15,77,52,67.5%,540,10.4,4,26,7.0,3.3,33.8,0,LewiMa00
65,Dexter McCluster,23,RB,16,6,77,52,67.5%,452,8.7,1,31,5.9,3.3,28.3,2,McClDe00
66,Marcel Reece*,27,RB,16,14,73,52,71.2%,496,9.5,1,56,6.8,3.3,31.0,2,ReecMa00
67,Jacob Tamme,27,TE,16,8,85,52,61.2%,555,10.7,2,36,6.5,3.3,34.7,0,TammJa00
68,Brandon Gibson,25,WR,16,13,82,51,62.2%,691,13.5,5,34,8.4,3.2,43.2,0,GibsBr00
69,Andrew Hawkins,26,WR,14,2,80,51,63.8%,533,10.5,4,59,6.7,3.6,38.1,1,HawkAn00
70,Aaron Hernandez,23,TE,10,10,83,51,61.4%,483,9.5,5,31,5.8,5.1,48.3,0,HernAa00
71,Denarius Moore,24,WR,15,15,114,51,44.7%,741,14.5,7,58,6.5,3.4,49.4,3,MoorDe02
72,Trent Richardson,22,RB,15,15,70,51,72.9%,367,7.2,1,27,5.2,3.4,24.5,3,RichTr00
73,Josh Gordon,21,WR,16,13,96,50,52.1%,805,16.1,5,71,8.4,3.1,50.3,1,GordJo02
74,T.Y. Hilton,23,WR,15,1,90,50,55.6%,861,17.2,7,61,9.6,3.3,57.4,1,HiltT.00
75,Sidney Rice,26,WR,16,16,82,50,61.0%,748,15.0,7,46,9.1,3.1,46.8,0,RiceSi01
76,Ronnie Brown,31,RB,14,1,59,49,83.1%,371,7.6,0,25,6.3,3.5,26.5,0,BrowRo05
77,Antonio Gates,32,TE,15,15,80,49,61.3%,538,11.0,7,34,6.7,3.3,35.9,0,GateAn00
78,Doug Martin*,23,RB,16,16,70,49,70.0%,472,9.6,1,64,6.7,3.1,29.5,1,MartDo00
79,Jordy Nelson,27,WR,12,10,73,49,67.1%,745,15.2,7,73,10.2,4.1,62.1,0,NelsJo00
80,Torrey Smith,23,WR,16,16,110,49,44.5%,855,17.4,8,54,7.8,3.1,53.4,0,SmitTo02
81,Ben Watson,32,TE,16,14,82,49,59.8%,501,10.2,3,27,6.1,3.1,31.3,1,WatsBe00
82,Josh Morgan,27,WR,16,15,73,48,65.8%,510,10.6,2,32,7.0,3.0,31.9,1,MorgJo00
83,Dallas Clark,33,TE,16,7,75,47,62.7%,435,9.3,4,33,5.8,2.9,27.2,0,ClarDa00
84,Nate Washington,29,WR,16,14,89,46,51.7%,746,16.2,4,71,8.4,2.9,46.6,1,WashNa00
85,Dwayne Allen,22,TE,16,16,66,45,68.2%,521,11.6,3,40,7.9,2.8,32.6,1,AlleDw00
86,Kenny Britt,24,WR,14,11,90,45,50.0%,589,13.1,4,46,6.5,3.2,42.1,2,BritKe00
87,Michael Floyd,23,WR,16,3,86,45,52.3%,562,12.5,2,53,6.5,2.8,35.1,1,FloyMi00
88,Rob Housler,24,TE,15,9,68,45,66.2%,417,9.3,0,33,6.1,3.0,27.8,0,HousRo01
89,DeSean Jackson,26,WR,11,11,87,45,51.7%,700,15.6,2,77,8.0,4.1,63.6,1,JackDe00
90,Brandon Stokley,36,WR,15,9,58,45,77.6%,544,12.1,5,38,9.4,3.0,36.3,0,StokBr00
91,Golden Tate,24,WR,15,15,68,45,66.2%,688,15.3,7,51,10.1,3.0,45.9,1,TateGo00
92,Jared Cook,25,TE,13,5,73,44,60.3%,523,11.9,4,61,7.2,3.4,40.2,1,CookJa02
93,Matt Forte,27,RB,15,15,59,44,74.6%,340,7.7,1,47,5.8,2.9,22.7,2,FortMa00
94,Pierre Garcon,26,WR,10,10,68,44,64.7%,633,14.4,4,88,9.3,4.4,63.3,0,GarcPi00
95,Brandon LaFell,26,WR,14,12,76,44,57.9%,677,15.4,4,62,8.9,3.1,48.4,1,LaFeBr00
96,Emmanuel Sanders,25,WR,16,7,75,44,58.7%,626,14.2,1,37,8.3,2.8,39.1,3,SandEm00
