Player,Pos,id
Alec Ingold,FB,IngoAl01
Velus Jones Jr.,WR,JoneVe00
Case Keenum,QB,KeenCa00
Dare Ogunbowale,RB,OgunDa00
Brock Purdy,QB,PurdBr00
Patrick Ricard,FB,RicaPa00
Amon-Ra St. Brown,WR,StxxAm00
Equanimeous St. Brown,WR,St.BEq00
Jameis Winston,QB,WinsJa00
Salvon Ahmed,RB,AhmeSa01
Kyle Allen,QB,AlleKy00
Kendrick Bourne,WR,BourKe00
Michael Burton,FB,BurtMi00
Ja'Marr Chase,WR,ChasJa00
Mecole Hardman,WR,HardMe00
Zander Horvath,FB,HorvZa00
D'Ernest Johnson,RB,JohnDE04
Julio Jones,WR,JoneJu02
Ronald Jones II,RB,JoneRo01
Kyle Juszczyk,FB,JuszKy00
Christian Kirk,WR,KirkCh01
Trace McSorley,QB,McSoTr00
Kene Nwangwu,RB,NwanKe00
Kalif Raymond,WR,RaymKa00
Trevor Siemian,QB,SiemTr00
Kadarius Toney,WR,ToneKa00
Montrell Washington,WR,WashMo00
Christian Watson,WR,WatsCh00
Derek Watt,FB,WattDe00
Trayveon Williams,RB,WillTr06
Garrett Wilson,WR,WilsGa00
Ameer Abdullah,RB,AbduAm00
Davante Adams,WR,AdamDa01
Brandon Allen,QB,AlleBr00
Snoop Conner,RB,ConnSn00
Sam Darnold,QB,DarnSa00
Joe Flacco,QB,FlacJo00
Chris Godwin,WR,GodwCh00
Kevin Harris,RB,HarrKe01
Chad Henne,QB,HennCh01
Zay Jones,WR,JoneZa00
Elijah Moore,WR,MoorEl00
Gunner Olszewski,WR,OlszGu00
K.J. Osborn,WR,OsboKJ00
George Pickens,WR,PickGe00
Brett Rypien,QB,RypiBr00
Anthony Schwartz,WR,SchwAn00
Trent Taylor,WR,TaylTr02
Tyrod Taylor,QB,TaylTy00
Tyquan Thornton,WR,ThorTy00
DJ Turner,WR,TurnDJ00
KaVontae Turpin,WR,TurpKa00
Mike White,QB,WhitMi01
John Wolford,QB,WolfJo00
Mark Andrews,TE,AndrMa00
Teddy Bridgewater,QB,BridTe00
Treylon Burks,WR,BurkTr00
Parris Campbell,WR,CampPa00
Brandin Cooks,WR,CookBr00
Michael Dickson,P,DickMi00
Greg Dortch,WR,DortGr01
Jahan Dotson,WR,DotsJa00
Jeff Driskel,QB,DrisJe00
D'Wayne Eskridge,WR,EskrDW00
C.J. Ham,FB,HamxC.00
KJ Hamler,WR,HamlKJ00
Richie James,WR,JameRi00
Justin Jefferson,WR,JeffJu00
Duke Johnson,RB,JohnDu00
Tony Jones,RB,JoneTo04
Travis Kelce,TE,KelcTr00
Cole Kmet,TE,KmetCo00
Marlon Mack,,MackMa00
Jakobi Meyers,WR,MeyeJa01
Ty Montgomery,WR,MontTy01
Chris Moore,WR,MoorCh00
Breshad Perriman,WR,PerrBr02
Dante Pettis,WR,PettDa00
Wan'Dale Robinson,WR,RobiWa01
Trey Sermon,RB,SermTr00
Rashid Shaheed,WR,ShahRa00
Durham Smythe,TE,SmytDu00
Jaylen Waddle,WR,WaddJa00
Damien Williams,RB,WillDa05
Olamide Zaccheaus,WR,ZaccOl01
Brandon Aiyuk,WR,AiyuBr00
Marcus Allen,LB,AlleMa03
Tutu Atwell,WR,AtweTu00
C.J. Beathard,QB,BeatC.00
Andrew Beck,FB,BeckAn01
Daniel Bellinger,TE,BellDa00
DeAndre Carter,WR,CartDe02
Sean Chandler,S,ChanSe00
Tyler Conklin,TE,ConkTy00
Jaelon Darden,WR,DardJa00
Ashtyn Davis,S,DaviAs00
Romeo Doubs,WR,DoubRo00
Ashton Dulin,WR,DuliAs00
Evan Engram,TE,EngrEv00
Gerald Everett,TE,EverGe00
Matthias Farley,S,FarlMa00
Clayton Fejedelem,S,FejeCl00
Demetric Felton,RB,FeltDe00
Jamie Gillan,P,GillJa00
Marquise Goodwin,WR,GoodMa00
Kylen Granson,TE,GranKy00
Noah Gray,TE,GrayNo00
Peyton Hendershot,TE,HendPe01
Kylin Hill,RB,HillKy00
Kendall Hinton,WR,HintKe00
Mack Hollins,WR,HollMa00
Jordan Howard,RB,HowaJo00
Robert Hunt,OL,HuntRo01
Trenton Irwin,WR,IrwiTr00
Jerry Jeudy,WR,JeudJe00
David Johnson,RB,JohnDa08
Scott Miller,WR,MillSc01
Gardner Minshew II,QB,MinsGa00
Darnell Mooney,WR,MoonDa00
C.J. Moore,S,MoorCJ01
David Njoku,TE,NjokDa00
Chigoziem Okonkwo,TE,OkonCh00
Devine Ozigbo,RB,OzigDe01
Josh Palmer,WR,PalmJo00
Zach Pascal,WR,PascZa00
Donovan Peoples-Jones,WR,PeopDo00
Jalen Reagor,WR,ReagJa00
Armani Rogers,TE,RogeAr00
Ben Skowronek,WR,SkowBe00
Jonnu Smith,TE,SmitJo01
Keith Smith,FB,SmitKe03
Ihmir Smith-Marsette,WR,SmitIh00
M.J. Stewart,DB,StewM.00
Pierre Strong,RB,StroPi00
Courtland Sutton,WR,SuttCo00
Marquez Valdes-Scantling,WR,ValdMa00
Quez Watkins,WR,WatkQu00
Cedrick Wilson Jr.,WR,WilsCe01
