Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,id
Tom Kennedy,25,WR,12,0,,1,1,100.0,75,1,100.0,0,0.0,75.0,95.0,75.0,6.3,158.3,100.0,0,0,0.0,75.00,95.00,KennTo01
Blaine Gabbert,32,QB,6,0,,7,11,63.6,67,0,0.0,0,0.0,6.1,6.1,9.6,11.2,80.5,31.2,1,10,8.3,4.75,4.75,GabbBl00
Tyler Boyd,27,WR,16,10,,1,1,100.0,46,0,0.0,0,0.0,46.0,46.0,46.0,2.9,118.7,98.7,0,0,0.0,46.00,46.00,BoydTy00
Jakobi Meyers,25,WR,17,16,,2,2,100.0,45,0,0.0,0,0.0,22.5,22.5,22.5,2.6,118.7,73.6,0,0,0.0,22.50,22.50,MeyeJa01
Mitchell Trubisky,27,QB,6,0,,6,8,75.0,43,0,0.0,1,12.5,5.4,-0.3,7.2,7.2,47.4,73.2,0,0,0.0,5.38,-0.25,TrubMi00
Jack Fox,25,P,17,0,,2,3,66.7,38,0,0.0,0,0.0,12.7,12.7,19.0,2.2,109.7,,0,0,0.0,12.67,12.67,FoxxJa01
Chris Streveler,26,QB,2,0,,6,9,66.7,36,0,0.0,0,0.0,4.0,4.0,6.0,18.0,74.3,2.3,2,17,18.2,1.73,1.73,StreCh00
Justin Jefferson*,22,WR,17,17,,2,4,50.0,35,0,0.0,0,0.0,8.8,8.8,17.5,2.1,80.2,42.7,0,0,0.0,8.75,8.75,JeffJu00
C.J. Beathard,28,QB,2,0,,2,2,100.0,33,0,0.0,0,0.0,16.5,16.5,16.5,16.5,118.7,90.3,0,0,0.0,16.50,16.50,BeatC.00
Christian Kirk,25,WR,17,11,,1,1,100.0,33,0,0.0,0,0.0,33.0,33.0,33.0,1.9,118.7,100.0,0,0,0.0,33.00,33.00,KirkCh01
Kendrick Bourne,26,WR,17,5,,1,1,100.0,25,1,100.0,0,0.0,25.0,45.0,25.0,1.5,158.3,100.0,0,0,0.0,25.00,45.00,BourKe00
